3
400
130
1800
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 3, 3, 0, 0, 0, 0, 0, 0, 0
0, 0, 3, 3, 4, 0, 0, 0, 0, 0
0, 0, 0, 4, 4, 0, 0, 0, 0, 0
0, 4, 0, 1, 4, 0, 0, 6, 0, 0
4, 4, 0, 1, 1, 1, 0, 6, 0, 4
4, 4, 0, 3, 1, 1, 6, 6, 4, 4
5, 6, 5, 4, 1, 1, 0, 2, 2, 3
5, 3, 3, 5, 1, 1, 0, 5, 5, 5
5, 0, 0, 5, 1, 4, 0, 5, 5, 5
1, 0, 6, 6, 6, 1, 6, 6, 6, 5
1, 0, 0, 0, 6, 1, 1, 1, 6, 5
